#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:combined_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:combined_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:combined_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.combined_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:combined_alignment" name="distribution" x="@birthRate.t:combined_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@combined_alignment" id="treeLikelihood.combined_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:combined_alignment">
#            <siteModel id="SiteModel.s:combined_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:combined_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:combined_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:combined_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:combined_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:combined_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:combined_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-125180.18911370021	-125174.58492728256	-5.6041864176482505	-125174.58492728256	1.6946459365043007	-5.6041864176482505	1.0
1000	-70189.79762629843	-70202.04760874508	12.249982446643747	-70202.04760874508	0.31445443902598097	12.249982446643747	4.670752685528586
2000	-70085.38178751597	-70098.6283569293	13.24656941333225	-70098.6283569293	0.31382542654670764	13.24656941333225	5.969684730982246
3000	-70080.92248104699	-70093.57714619095	12.654665143952275	-70093.57714619095	0.3116479415944175	12.654665143952275	4.999003022974487
4000	-70079.4364373816	-70092.62939649838	13.19295911677582	-70092.62939649838	0.3060698701950394	13.19295911677582	5.763809787939129
5000	-70077.98580076614	-70090.34250976967	12.356709003530908	-70090.34250976967	0.30475951414419444	12.356709003530908	4.463561502949892
6000	-70078.08700871134	-70091.46747357356	13.380464862221352	-70091.46747357356	0.3067420551784122	13.380464862221352	6.319476902307079
7000	-70079.48228135885	-70092.80613132604	13.323849967187522	-70092.80613132604	0.3067420551784122	13.323849967187522	7.041939784624127
8000	-70080.86774277993	-70093.80326625347	12.935523473537078	-70093.80326625347	0.31108540648402944	12.935523473537078	7.787658336309988
9000	-70075.88375672427	-70088.84525303167	12.961496307400122	-70088.84525303167	0.30741640595634906	12.961496307400122	8.304664999915744
10000	-70075.78312666966	-70089.06119378451	13.278067114857226	-70089.06119378451	0.30681742866814055	13.278067114857226	6.9753669490860455
11000	-70079.35635868071	-70091.84439591547	12.488037234760663	-70091.84439591547	0.3138348283530451	12.488037234760663	8.729852473222474
12000	-70082.01802941643	-70094.99096461659	12.972935200161992	-70094.99096461659	0.3094218154710638	12.972935200161992	8.046409741854388
13000	-70078.29578788514	-70090.90699525585	12.61120737070419	-70090.90699525585	0.3094218154710638	12.61120737070419	8.708668138877425
14000	-70077.70133411355	-70091.09068021119	13.389346097635222	-70091.09068021119	0.3060247451487287	13.389346097635222	6.379996218326302
15000	-70080.03872981101	-70093.30662390635	13.267894095336402	-70093.30662390635	0.3078560184422847	13.267894095336402	5.938864991204989
